master_id,recency,frequency,monetary,recency_score,frequency_score,monetary_score,rf_score,segment,categories
0f71c798-7126-11ea-adca-000d3a38a36f,143,3.0,240.47000000000003,3,2,1,32,about_to_sleep,"[AKTIFCOCUK, COCUK, KADIN]"
0fc05b14-1cfe-11ea-a490-000d3a38a36f,24,2.0,223.98,5,1,1,51,new_customers,"[AKTIFCOCUK, ERKEK, COCUK, KADIN, AKTIFSPOR]"
0fe01206-1e66-11ea-aa32-000d3a38a36f,126,2.0,313.27,3,1,2,31,about_to_sleep,[COCUK]
0ffb7b68-4279-11ea-8b43-000d3a38a36f,31,2.0,272.98,5,1,1,51,new_customers,"[ERKEK, COCUK, KADIN, AKTIFSPOR]"
0ffdf370-d94c-11e9-93bc-000d3a38a36f,7,2.0,219.98,5,1,1,51,new_customers,"[AKTIFCOCUK, KADIN]"
105c5046-61d2-11ea-8dd8-000d3a38a36f,102,2.0,525.9399999999999,3,1,3,31,about_to_sleep,[COCUK]
105f3fd8-b0b7-11eb-bbf8-000d3a38a36f,8,2.0,234.46999999999997,5,1,1,51,new_customers,"[ERKEK, AKTIFSPOR]"
108d129c-d660-11e9-93bc-000d3a38a36f,138,2.0,124.97999999999999,3,1,1,31,about_to_sleep,"[ERKEK, COCUK]"
10af76ca-a3a7-11e9-a2fc-000d3a38a36f,110,2.0,589.8,3,1,3,31,about_to_sleep,"[ERKEK, AKTIFSPOR]"
1152fa5c-a915-11e9-a2fc-000d3a38a36f,204,8.0,1041.27,2,5,5,25,cant_loose,"[COCUK, KADIN]"
1174bb82-3fce-11eb-806e-000d3a38a36f,100,2.0,297.48,3,1,1,31,about_to_sleep,[ERKEK]
118fbb68-5b49-11ea-95ae-000d3a38a36f,27,2.0,561.9300000000001,5,1,3,51,new_customers,[ERKEK]
119ca220-5b2f-11ea-b040-000d3a38a36f,137,3.0,470.72,3,2,3,32,about_to_sleep,"[AKTIFCOCUK, COCUK, AKTIFSPOR]"
11a47b18-aa17-11e9-a2fc-000d3a38a36f,90,2.0,460.3,3,1,3,31,about_to_sleep,[COCUK]
11a4e650-ad39-11e9-a2fc-000d3a38a36f,235,8.0,980.9,1,5,4,15,cant_loose,"[ERKEK, KADIN]"
11fb8f1e-9e25-11e9-9897-000d3a38a36f,186,11.0,907.13,2,5,4,25,cant_loose,[COCUK]
1255e3d2-a533-11e9-a2fc-000d3a38a36f,106,2.0,259.88,3,1,1,31,about_to_sleep,"[ERKEK, AKTIFSPOR]"
1259438c-5be1-11ea-94bb-000d3a38a36f,31,2.0,259.96999999999997,5,1,1,51,new_customers,"[AKTIFCOCUK, AKTIFSPOR]"
126a9328-aeff-11ea-b736-000d3a38a36f,319,9.0,1449.83,1,5,5,15,cant_loose,"[ERKEK, KADIN]"
